ID,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
52109,Ray Price,Golden Hits,Funny How Time Slips Away,19,173733,FALSE,0.551,0.259,0,-12.877,1,0.0326,0.785,0.0585,0.177,0.426,85.436,4,honky-tonk
41758,Ex-Voto,Anno Domini,I'll Wait Forever,21,386453,FALSE,0.484,0.589,2,-12.47,0,0.0309,0.000522,0.739,0.154,0.203,124.949,4,goth
71760,Bon Jovi,Slippery When Wet,Never Say Goodbye,66,288933,FALSE,0.326,0.797,2,-2.359,1,0.0334,0.0522,0,0.081,0.271,135.937,4,metal
100628,Operation Ivy,Operation Ivy (2007 Remaster),I Got No - 2007 Remaster,33,76240,FALSE,0.313,0.938,0,-4.423,1,0.0529,0.00179,0.0146,0.241,0.731,79.139,4,ska
5212,Yoshihisa Hirano,DEATH NOTE Original Soundtrack,Low of Solipsism,45,144000,FALSE,0.401,0.452,2,-9.352,0,0.037,0.86,0.713,0.112,0.0431,132.127,4,anime
20882,Becky Hill;Joel Corry,Pop Brandneu,HISTORY,0,176609,TRUE,0.674,0.86,8,-3.318,1,0.0369,0.155,3.21E-06,0.359,0.771,122.975,4,dance
10407,The Chemical Brothers;The Flaming Lips,Brotherhood,The Golden Path,47,287440,FALSE,0.642,0.83,2,-5.903,1,0.0336,0.263,0.0032,0.0839,0.551,135.982,4,breakbeat
64628,Peggy Lee,Xmas Classics 2022,The Christmas Waltz,0,172653,FALSE,0.27,0.26,1,-12.037,0,0.0322,0.75,2.07E-05,0.128,0.182,118.581,3,jazz
46039,Scooter,Scooter Forever,In Rave We Trust - Amateur Hour,31,195146,FALSE,0.567,0.915,7,-5.762,0,0.0315,0.00094,0.377,0.292,0.546,145.018,4,happy
21900,Ken Vybz,Dans ma ville,Dans ma ville,27,176842,TRUE,0.7,0.562,6,-9.427,0,0.514,0.677,0,0.167,0.23,126.847,5,dancehall
19041,Zach Bryan,Finest Country,Heavy Eyes,0,190780,FALSE,0.471,0.912,5,-3.032,1,0.0724,0.032,0,0.343,0.613,139.667,4,country
10227,Future Funk Squad,Darker Nights,The Hunted - Blazer Remix,17,322246,FALSE,0.775,0.915,8,-6.856,1,0.0558,0.000812,0.866,0.0418,0.0372,131.988,4,breakbeat
67017,Bad Bunny;Drake,Today's Party Hits,MIA,0,210367,FALSE,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.061,4,latin
35607,Os Barões Da Pisadinha,Paredão Explode,Batom de Ouro (Versão Grave),40,140933,FALSE,0.715,0.607,6,-7.759,0,0.0626,0.0232,0,0.168,0.409,171.993,4,forro
68768,Farruko;Tiësto,Pepas Remix EP,Pepas - Tiësto Remix,57,223384,TRUE,0.769,0.688,7,-4.378,1,0.0501,0.00215,0.107,0.088,0.387,130.026,4,latino
105853,Jobii,Mimosas with the Girls,Tortoise Shell,21,159656,FALSE,0.588,0.746,6,-6.123,1,0.0679,0.561,0.676,0.144,0.358,77.028,4,study
6704,Alcest,Shelter (Deluxe Edition),La nuit marche avec moi,34,298080,FALSE,0.467,0.814,8,-4.917,0,0.0338,0.0362,0.17,0.147,0.321,126.014,4,black-metal
11147,Free,On air 70's Hits,All Right Now,0,338426,FALSE,0.785,0.481,2,-11.323,1,0.101,0.0062,2.38E-06,0.122,0.77,119.937,4,british
34873,Of Monsters and Men,My Head Is An Animal,Dirty Paws,70,278373,FALSE,0.359,0.649,3,-7.06,1,0.0349,0.107,0.0124,0.0555,0.133,111.709,4,folk
95562,Orquesta Internacional Los Niches,Éxitos,Si Supieras,30,284708,FALSE,0.647,0.744,0,-9.767,0,0.0415,0.595,0.0658,0.109,0.962,90.22,4,salsa
13690,Fast Eddie,Jack to the Sound,Keep on Dancing,5,247142,FALSE,0.785,0.974,11,-6.559,1,0.0538,4.55E-05,0.304,0.0398,0.456,125.767,4,chicago-house
